,State,Population,Hospitals,Sexual Assault Hospitals,Nurses,Sexual Assault Nurse Examiners,Rape Reports,Rape Arrests,Rape per Capita,Arrests per Capita,Arrest per Report,Nurses per Sexual Assault Nurse,Population per Sexual Assault Nurse,Population per Nurse,State Code,Region,Division
0,Florida,21299325,325,24,316970,43,7940,1936.0,0.000373,9.1e-05,0.243829,7371,495333,67,FL,South,South Atlantic
1,New York,19542209,264,48,355397,60,6555,933.0,0.000335,4.8e-05,0.142334,5923,325703,55,NY,Northeast,Middle Atlantic
2,Pennsylvania,12807060,282,42,229548,62,4201,1132.0,0.000328,8.8e-05,0.26946,3702,206565,56,PA,Northeast,Middle Atlantic
3,Illinois,12741080,232,11,203845,39,5556,437.0,0.000436,3.4e-05,0.078654,5227,326694,63,IL,Midwest,East North Central
4,Ohio,11689442,269,98,222856,70,5859,470.0,0.0005009999999999999,4e-05,0.080218,3184,166992,52,OH,Midwest,East North Central
5,Georgia,10519475,188,24,131893,25,2718,168.0,0.000258,1.6e-05,0.061810000000000004,5276,420779,80,GA,South,South Atlantic
6,North Carolina,10383620,171,28,139361,60,2715,165.0,0.000261,1.6e-05,0.060773,2323,173060,75,NC,South,South Atlantic
7,Michigan,9995915,184,28,96680,67,7608,1013.0,0.0007610000000000001,0.000101,0.133149,1443,149193,103,MI,Midwest,East North Central
8,New Jersey,8908520,118,21,131316,11,1505,275.0,0.000169,3.1e-05,0.182724,11938,809865,68,NJ,Northeast,Middle Atlantic
9,Virginia,8517685,135,28,107554,70,5736,523.0,0.0006730000000000001,6.1e-05,0.091179,1536,121681,79,VA,South,South Atlantic
10,Washington,7535591,119,11,105127,24,3255,536.0,0.00043200000000000004,7.099999999999999e-05,0.16467,4380,313983,72,WA,West,Pacific
11,Arizona,7171646,124,30,92676,35,3581,328.0,0.000499,4.6e-05,0.09159500000000001,2648,204904,77,AZ,West,Mountain
12,Massachusetts,6902149,129,43,136201,10,2197,950.0,0.00031800000000000003,0.000138,0.432408,13620,690215,51,MA,Northeast,New England
